"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.893249975E-3,6.035658622E-1,4.839018264E-1,-1.492279601E-1,7.878589415E-1
1.786324999E-2,2.189560068E0,1.895398343E0,-4.182208132E0,5.087000395E0
2.783325000E-2,1.975183600E0,7.603613985E-1,-2.245795664E0,3.085951697E0
3.780325002E-2,2.101486382E0,-5.116459876E-1,-2.409938702E0,3.238183314E0
4.777324997E-2,5.102680547E-1,-3.679808054E0,1.796320197E0,4.126515122E0
5.774324998E-2,-4.655944135E-1,-3.103971917E0,3.220932895E0,4.497313480E0
6.771325000E-2,1.091163239E0,2.621961665E-1,3.347796425E0,3.530881610E0
7.768325001E-2,1.105331481E0,3.576126103E0,1.830169144E0,4.166527893E0
8.765225002E-2,1.748941670E-1,2.174752286E0,1.539837930E0,2.670437478E0
9.762224997E-2,6.438170350E-1,4.416808364E-1,-2.151791732E0,2.289058757E0
1.075922500E-1,2.405490871E0,2.143905593E0,-5.422751065E0,6.307848020E0
1.175622500E-1,9.965771433E-1,1.535416265E0,-5.537114418E0,5.831835490E0
1.275322500E-1,1.929573272E0,-1.932566169E0,2.241070529E0,3.532769753E0
1.375022500E-1,1.257071551E0,5.815301549E-1,9.916661400E-1,1.703469383E0
1.474722500E-1,-1.795661508E0,3.462252163E0,1.735996227E0,4.269106838E0
1.574422500E-1,-6.882147972E-1,-2.644210321E-1,4.718355122E0,4.775608144E0
1.674122500E-1,-2.689530335E0,-1.146767043E0,1.581553136E0,3.324147770E0
1.773822500E-1,-2.244613065E-1,3.074646377E0,-5.008246626E0,5.881017555E0
1.873522500E-1,9.299652971E-1,-7.775615680E-1,-2.041403317E-1,1.229272436E0
1.973212500E-1,4.764330317E-1,-4.893948178E0,1.638849417E0,5.183005365E0
2.072912500E-1,-1.462245743E-1,1.971270643E0,-1.736990839E0,2.631430552E0
2.172612500E-1,-1.741911563E0,2.132887684E0,-2.138736069E-2,2.753892370E0
2.272312500E-1,1.434297003E0,-2.477773713E0,2.927764612E0,4.094920767E0
